,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
0,100-Og,hybrid,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",,,"100-Og hybrid Creative,Energetic,Tingly,Euphoric,Relaxed Earthy,Sweet,Citrus $100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.  ",100-Og hybrid Creative energetic Tingly Euphoric Relaxed Earthy Sweet Citrus $ 100 og 50/50 hybrid strain pack strong punch supposedly refer strength high price start show Hollywood plant $ 100 og tend produce large dark green bud stem user report strong body effect indica pain relief alert cerebral feeling thank sativa  
1,98-White-Widow,hybrid,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.  ",,,"98-White-Widow hybrid Relaxed,Aroused,Creative,Happy,Energetic Flowery,Violet,Diesel The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.    ",98-white widow hybrid Relaxed arouse Creative happy Energetic Flowery Violet Diesel 98 Aloha White Widow especially potent cut White Widow grow renown alongside hawaiian legend like Maui Wowie Kona Gold White Widow phenotype reek diesel skunk rich earthy taste intermittent note hash bud coat trichome give dark foliage lustrous glint room fill odor hitter quitter uplift mind mind bend euphoria materialize body airy relaxation 98 Aloha White Widow available Pua Mana 1st Hawaiian Pakalōlō Seed Bank    
2,1024,sativa,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",1024,"Stress, Pain, Depression, Inflammation","1024 sativa Uplifted,Happy,Relaxed,Energetic,Creative Spicy/Herbal,Sage,Woody 1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense. 1024 Stress, Pain, Depression, Inflammation",1024 sativa Uplifted happy relaxed energetic Creative Spicy Herbal Sage Woody 1024 sativa dominant hybrid breed Spain Medical Seeds Co. breeder claim guard secret genetic security reason regardless genetic heritage 1024 THC powerhouse sweet spicy bouquet subtle fruit flavor mix herbal musk produce uplifting sativa effect specific phenotype note have pungent odor fill room similar burn incense 1024 stress Pain Depression inflammation
3,13-Dawgs,hybrid,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",,,"13-Dawgs hybrid Tingly,Creative,Hungry,Relaxed,Uplifted Apricot,Citrus,Grapefruit 13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.  ",13-dawgs hybrid Tingly creative hungry Relaxed Uplifted Apricot Citrus Grapefruit 13 Dawgs hybrid G13 Chemdawg genetic breed canadian LP Delta 9 BioTech potent strain mix create balance indica sativa effect 13 Dawgs sweet earthy musk bring blend woody    citrus flavor effect 13 Dawgs induce happy relaxed body buzz creative focused mind counter depression stimulate appetite  
4,24K-Gold,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",,,"24K-Gold hybrid Happy,Relaxed,Euphoric,Uplifted,Talkative Citrus,Earthy,Orange Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!   ",24k gold hybrid Happy Relaxed Euphoric Uplifted Talkative Citrus Earthy Orange know Kosher Tangie 24k gold 60 indica dominant hybrid combine legendary LA strain Kosher Kush champion sativa Tangie create unique grow tall vegetative cycle stretchy flower need experienced hand grow indoors phenotype exhibit sweet orange aroma Tangie dark coloration Kosher Kush offer strong citrus flavor smoke vape thc level range 18 24 definitely novice user    
5,3-Bears-Og,indica,None,None,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",,,"3-Bears-Og indica None None 3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.  ",3-bears Og indica 3 bear og Mephisto Genetics autoflowering cross Bear OG Karma ’s OG Cut Triangle Kush indica dominant strain generate pungent flavorful bud small manageable plant size Mephisto Genetics describe 3 Bears og cornerstone artisanal collection blend good attribute fabled OG Kush compact controllable growth structure 3 Bears OG approximate 70-day growth cycle offer effect stimulate appetite lead body sleep  
6,3-Kings,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,,"3-Kings hybrid Relaxed,Euphoric,Happy,Uplifted,Hungry Earthy,Sweet,Pungent The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.  ",3-kings hybrid Relaxed Euphoric happy Uplifted Hungry Earthy sweet pungent 3 king marijuana strain holy trinity headband Sour Diesel OG Kush sativa dominant hybrid genetic masterpiece sour tanginess reek sage green bud frosty coat give fair warning 3 king potency medical patient appreciate versatility strain ’s medicinal effect relieve pain stress nausea heavy sedation  
7,303-Og,indica,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",,,"303-Og indica Relaxed,Happy,Euphoric,Uplifted,Giggly Citrus,Pungent,Earthy The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.  ",303-Og indica Relaxed happy Euphoric Uplifted Giggly Citrus Pungent Earthy indica dominant 303 og Colorado strain breed cross Pre-98 Bubba Kush Chemdawg parent strain pass complex flavor profile coffee spice diesel undertone buzz describe social creative dreamy experience perfect let steam end work day happy euphoria induce 303 OG help patient treat depression anxiety stress disorder  
8,3D-Cbd,sativa,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",,,"3D-Cbd sativa Uplifted,Focused,Happy,Talkative,Relaxed Earthy,Woody,Flowery 3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.  ",3D Cbd sativa Uplifted Focused happy talkative Relaxed Earthy woody flowery 3d CBD Snoop Dogg ’s branded line cannabis strain craft patient mind THC CBD ratio 5:8 earthy flavor sativa prefer treat pain inflammation muscle tension consumer susceptible THC induce anxiety appreciate sobering relax balance CBD offer  
9,3X-Crazy,indica,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",,,"3X-Crazy indica Relaxed,Tingly,Happy,Euphoric,Uplifted Earthy,Grape,Sweet Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia.   ",3x crazy indica Relaxed Tingly happy Euphoric Uplifted Earthy Grape Sweet know Optimus Prime indica dominant 3x Crazy way cross OG Kush Bubba Kush Granddaddy Purple aroma comprise sweet grape spicy pepper earthy note pass Bubba Kush parent indica leave sedate soothe body effect brief phase clear head cerebral psychoactivity relax effect induce 3x Crazy treat variety severe symptom include pain spasm tension insomnia    
